ATE,Error_ATE,Error_PEHE,Problem
3.871694,0.133802,0.759291,IHDP 144
3.696711,0.212108,2.168733,IHDP 145
8.825768,0.355221,2.052979,IHDP 146
4.224584,0.069592,0.85328,IHDP 147
7.518511,0.447083,6.184341,IHDP 148
4.127271,0.149471,0.471835,IHDP 149
5.406163,0.071391,0.851739,IHDP 150
4.80784,0.006658,0.584031,IHDP 151
5.199054,0.775687,3.772484,IHDP 152
3.683946,0.244671,0.849731,IHDP 153
4.346638,0.134233,1.058324,IHDP 154
4.157805,0.164628,0.741815,IHDP 155
7.098465,0.41195,1.363719,IHDP 156
4.32887,0.089194,0.749797,IHDP 157
3.992396,0.349081,0.800875,IHDP 158
4.554703,0.010023,2.545757,IHDP 159
3.742069,0.030048,0.679324,IHDP 160
3.973986,0.017922,0.820815,IHDP 161
2.773671,0.051168,0.827012,IHDP 162
3.988841,0.064607,0.567945,IHDP 163
5.038401,0.035095,1.716021,IHDP 164
4.233397,0.02941,2.468957,IHDP 165
4.049391,0.38263,2.61714,IHDP 166
4.547101,0.163086,0.559462,IHDP 167
4.454127,0.10408,0.676782,IHDP 168
4.803743,0.136977,1.497709,IHDP 169
3.730067,0.100779,1.417,IHDP 170
4.036561,0.010909,0.70767,IHDP 171
4.394657,0.213626,0.853974,IHDP 172
3.850795,0.24249,0.886929,IHDP 173
4.033526,0.116191,0.516986,IHDP 174
4.591759,0.269552,0.920481,IHDP 175
3.790252,0.036822,0.891875,IHDP 176
3.955224,0.40574,1.473192,IHDP 177
4.560515,0.037659,0.502435,IHDP 178
6.662647,0.151865,3.973212,IHDP 179
4.148577,0.519757,2.738867,IHDP 180
3.914757,0.22372,0.731755,IHDP 181
4.473739,0.070689,0.341106,IHDP 182
5.723733,0.033638,1.610861,IHDP 183
3.971785,0.3946,0.640321,IHDP 184
4.00889,0.187089,0.674851,IHDP 185
4.274753,0.014013,1.025259,IHDP 186
3.755724,0.115113,1.736237,IHDP 187
5.106002,0.163804,1.491956,IHDP 188
3.851978,0.169979,0.696009,IHDP 189
3.755146,0.297435,1.187801,IHDP 190
4.15721,0.127692,0.939142,IHDP 191
4.008079,0.059225,0.710447,IHDP 192
3.961347,0.331151,1.09931,IHDP 193
4.239872,0.941481,3.472913,IHDP 194
3.843686,0.075886,0.37541,IHDP 195
4.251502,0.117092,1.157024,IHDP 196
4.167695,0.708503,1.434172,IHDP 197
5.985832,0.207095,1.45171,IHDP 198
4.328186,0.457054,0.766916,IHDP 199
4.143633,0.009126,1.285684,IHDP 200
4.205082,0.08496,0.300747,IHDP 201
4.149438,0.101719,0.611617,IHDP 202
3.906648,0.154829,0.687351,IHDP 203
4.687694,0.12733,0.797747,IHDP 204
3.763087,0.000783,0.864044,IHDP 205
4.223829,0.368669,1.625094,IHDP 206
4.214217,0.172641,1.446592,IHDP 207
2.105817,0.099007,2.633906,IHDP 208
10.668377,0.062477,3.223118,IHDP 209
6.416279,0.218032,0.669024,IHDP 210
3.957768,0.173295,0.670684,IHDP 211
3.98752,0.199623,0.781175,IHDP 212
4.183823,0.464549,1.39507,IHDP 213
3.650387,0.048836,0.569462,IHDP 214
4.160511,0.331967,0.659122,IHDP 215
3.994832,0.398377,1.074081,IHDP 216
3.501728,0.5242,2.984715,IHDP 217
11.583535,0.681042,44.635909,IHDP 218
6.363932,0.437592,4.256614,IHDP 219
4.109952,0.172169,0.966066,IHDP 220
4.12308,0.400943,1.959307,IHDP 221
3.915724,0.623697,1.372824,IHDP 222
4.060095,0.360387,3.664231,IHDP 223
3.815259,0.375619,0.809991,IHDP 224
5.766492,0.286627,1.606916,IHDP 225
3.880104,0.062697,0.754258,IHDP 226
3.25426,0.072795,0.48328,IHDP 227
3.155799,0.278188,2.053459,IHDP 228
4.169478,0.315006,0.820473,IHDP 229
8.064425,0.405332,1.517169,IHDP 230
3.670616,0.233998,1.22905,IHDP 231
4.87568,0.224762,0.674351,IHDP 232
4.051584,0.354087,1.211663,IHDP 233
5.614417,0.344618,2.382359,IHDP 234
4.009805,0.052982,1.201978,IHDP 235
3.805175,0.024268,0.791201,IHDP 236
3.966719,0.037865,1.11672,IHDP 237
3.729702,0.318377,1.312922,IHDP 238
4.93983,0.710473,3.297722,IHDP 239
4.141064,0.052602,0.811314,IHDP 240
4.000115,0.093997,1.480331,IHDP 241
4.339979,0.378737,1.348516,IHDP 242
1.595204,0.06539,1.321277,IHDP 243
9.005046,0.062597,4.506631,IHDP 244
2.949293,0.083918,0.331757,IHDP 245
4.112898,0.045614,0.497916,IHDP 246
4.685198,0.150371,0.567507,IHDP 247
6.964003,0.378829,0.921371,IHDP 248
3.958428,0.154227,0.471002,IHDP 249
3.858818,0.210068,1.053797,IHDP 250
3.953482,0.160963,0.85356,IHDP 251
3.772544,0.289587,0.645086,IHDP 252
2.58521,0.045115,2.327935,IHDP 253
6.03471,0.61348,14.890406,IHDP 254
3.701896,0.216013,0.617587,IHDP 255
8.015934,0.294283,1.328564,IHDP 256
4.118776,0.163499,0.555459,IHDP 257
4.358756,0.039548,0.92617,IHDP 258
3.971818,0.129972,0.723174,IHDP 259
2.646865,0.100168,0.423289,IHDP 260
