ATE,Error_ATE,Error_PEHE,Problem
3.871694,0.291563,4.955189,IHDP 144
3.696711,0.152231,6.339167,IHDP 145
8.825768,0.466362,345.240026,IHDP 146
4.224584,0.120241,16.135907,IHDP 147
7.518511,0.674031,923.284472,IHDP 148
4.127271,0.048374,0.374127,IHDP 149
5.406163,0.263863,24.991195,IHDP 150
4.80784,0.075561,37.725708,IHDP 151
5.199054,0.249296,14.410876,IHDP 152
3.683946,0.023276,11.458806,IHDP 153
4.346638,0.467365,34.679337,IHDP 154
4.157805,0.176733,4.400943,IHDP 155
7.098465,0.510323,194.046842,IHDP 156
4.32887,0.309981,101.06371,IHDP 157
3.992396,0.214379,0.078452,IHDP 158
4.554703,0.48035,33.862876,IHDP 159
3.742069,0.353825,3.898756,IHDP 160
3.973986,0.221359,0.211156,IHDP 161
2.773671,0.505786,36.854292,IHDP 162
3.988841,0.038459,0.144231,IHDP 163
5.038401,0.380708,44.377382,IHDP 164
4.233397,0.253356,58.425893,IHDP 165
4.049391,0.135431,2.36042,IHDP 166
4.547101,0.055632,9.412545,IHDP 167
4.454127,0.355167,2.222298,IHDP 168
4.803743,0.013311,12.847986,IHDP 169
3.730067,0.086527,46.819464,IHDP 170
4.036561,0.374381,6.287755,IHDP 171
4.394657,0.01377,3.145639,IHDP 172
3.850795,0.041809,11.288282,IHDP 173
4.033526,0.040582,0.540604,IHDP 174
4.591759,0.003292,6.415742,IHDP 175
3.790252,0.742359,37.547465,IHDP 176
3.955224,0.543511,5.835091,IHDP 177
4.560515,0.104876,8.620407,IHDP 178
6.662647,0.953266,327.405288,IHDP 179
4.148577,1.832833,246.099181,IHDP 180
3.914757,0.053597,0.8472,IHDP 181
4.473739,0.146192,8.186323,IHDP 182
5.723733,0.563227,136.562237,IHDP 183
3.971785,0.382628,0.450143,IHDP 184
4.00889,0.241281,0.111462,IHDP 185
4.274753,0.770815,68.38777,IHDP 186
3.755724,0.465738,4.194196,IHDP 187
5.106002,0.20586,23.661357,IHDP 188
3.851978,0.163824,5.19514,IHDP 189
3.755146,0.052556,1.220777,IHDP 190
4.15721,0.25146,4.495598,IHDP 191
4.008079,0.21953,6.653983,IHDP 192
3.961347,0.177181,0.276843,IHDP 193
4.239872,0.11553,3.515873,IHDP 194
3.843686,0.185728,19.178159,IHDP 195
4.251502,0.019618,2.451706,IHDP 196
4.167695,0.11786,3.984609,IHDP 197
5.985832,0.424844,57.835301,IHDP 198
4.328186,0.313836,5.856516,IHDP 199
4.143633,0.198155,6.92481,IHDP 200
4.205082,0.097774,0.990717,IHDP 201
4.149438,0.019209,0.751494,IHDP 202
3.906648,0.041383,12.491253,IHDP 203
4.687694,0.12139,27.35331,IHDP 204
3.763087,0.110143,1.593448,IHDP 205
4.223829,0.152672,1.660886,IHDP 206
4.214217,0.357399,6.826837,IHDP 207
2.105817,0.293902,364.735707,IHDP 208
10.668377,3.055698,723.232142,IHDP 209
6.416279,0.605869,90.23859,IHDP 210
3.957768,0.00119,0.398178,IHDP 211
3.98752,0.050511,0.04673,IHDP 212
