ATE,Error_ATE,Error_PEHE,Problem
3.871694,0.708004,1.764702,IHDP 144
3.696711,0.185945,1.707536,IHDP 145
8.825768,0.611287,11.418508,IHDP 146
4.224584,0.474501,2.482103,IHDP 147
7.518511,0.775443,43.025553,IHDP 148
4.127271,0.494442,0.843703,IHDP 149
5.406163,0.088226,0.352011,IHDP 150
4.80784,0.590393,3.285593,IHDP 151
5.199054,0.276936,0.947154,IHDP 152
3.683946,0.273624,0.455572,IHDP 153
4.346638,0.290672,0.959,IHDP 154
4.157805,0.630905,1.555751,IHDP 155
7.098465,0.073837,2.450043,IHDP 156
4.32887,0.013743,1.722825,IHDP 157
3.992396,0.843378,1.466675,IHDP 158
4.554703,0.044773,0.785849,IHDP 159
3.742069,0.312971,0.482737,IHDP 160
3.973986,0.343645,0.814201,IHDP 161
2.773671,0.272324,0.451038,IHDP 162
3.988841,0.496024,1.449185,IHDP 163
5.038401,0.005559,0.381344,IHDP 164
4.233397,0.330515,6.601401,IHDP 165
4.049391,0.650689,1.809009,IHDP 166
4.547101,0.109786,0.315481,IHDP 167
4.454127,0.468246,0.726178,IHDP 168
4.803743,0.843693,2.342862,IHDP 169
3.730067,0.159497,1.348371,IHDP 170
4.036561,0.277058,0.466156,IHDP 171
4.394657,0.693341,1.663489,IHDP 172
3.850795,0.0355,0.178797,IHDP 173
4.033526,0.573536,1.187349,IHDP 174
4.591759,0.232966,0.574958,IHDP 175
3.790252,0.106723,1.539484,IHDP 176
3.955224,0.332852,0.237423,IHDP 177
4.560515,0.086454,0.365995,IHDP 178
6.662647,0.060838,6.680627,IHDP 179
4.148577,0.364405,3.687734,IHDP 180
3.914757,0.682294,1.485533,IHDP 181
4.473739,0.82005,1.895907,IHDP 182
5.723733,0.938933,11.921595,IHDP 183
3.971785,0.909753,1.863733,IHDP 184
4.00889,1.080325,2.55578,IHDP 185
4.274753,0.508994,3.45868,IHDP 186
3.755724,0.422021,2.092329,IHDP 187
5.106002,0.188562,1.314453,IHDP 188
3.851978,0.636109,2.056222,IHDP 189
3.755146,1.079561,2.247699,IHDP 190
4.15721,0.775167,2.265482,IHDP 191
4.008079,0.089052,0.283485,IHDP 192
3.961347,0.772889,1.35371,IHDP 193
4.239872,1.051316,2.266879,IHDP 194
3.843686,0.172773,0.362358,IHDP 195
4.251502,0.617251,1.75601,IHDP 196
4.167695,0.719265,0.923858,IHDP 197
5.985832,0.771581,4.616601,IHDP 198
4.328186,0.552779,0.613578,IHDP 199
4.143633,0.842004,2.554113,IHDP 200
4.205082,0.709117,1.292085,IHDP 201
4.149438,0.552765,1.048487,IHDP 202
3.906648,0.896666,1.934268,IHDP 203
4.687694,0.098772,0.370913,IHDP 204
3.763087,0.560906,1.027026,IHDP 205
4.223829,0.734778,1.73828,IHDP 206
4.214217,0.448428,0.666908,IHDP 207
2.105817,0.522301,13.725542,IHDP 208
10.668377,0.389749,21.469748,IHDP 209
6.416279,0.222307,1.19665,IHDP 210
3.957768,0.990546,2.156976,IHDP 211
3.98752,0.754053,1.351206,IHDP 212
4.183823,0.615476,1.290038,IHDP 213
3.650387,0.622991,1.434923,IHDP 214
4.160511,0.542155,0.787053,IHDP 215
3.994832,0.601391,1.265048,IHDP 216
3.501728,0.371567,5.117623,IHDP 217
11.583535,0.75381,189.500598,IHDP 218
6.363932,0.489297,15.762356,IHDP 219
4.109952,0.700013,1.776373,IHDP 220
4.12308,1.167482,3.167208,IHDP 221
3.915724,1.037239,2.33707,IHDP 222
4.060095,0.494093,1.343485,IHDP 223
3.815259,0.356872,0.464074,IHDP 224
5.766492,0.059066,0.59025,IHDP 225
3.880104,0.706287,2.015012,IHDP 226
3.25426,0.687653,1.852234,IHDP 227
3.155799,0.284545,2.431653,IHDP 228
4.169478,0.292475,0.657616,IHDP 229
8.064425,0.752849,13.061897,IHDP 230
3.670616,0.442864,1.586697,IHDP 231
4.87568,0.355442,0.547601,IHDP 232
4.051584,0.599369,1.110755,IHDP 233
5.614417,0.602361,4.487925,IHDP 234
4.009805,0.493838,1.300999,IHDP 235
3.805175,0.085528,0.751026,IHDP 236
3.966719,0.018433,0.145628,IHDP 237
3.729702,0.27453,0.347398,IHDP 238
4.93983,0.412485,0.594857,IHDP 239
4.141064,0.883777,1.472759,IHDP 240
4.000115,0.380195,0.812608,IHDP 241
4.339979,0.501808,1.347519,IHDP 242
1.595204,0.232545,2.576817,IHDP 243
9.005046,0.43377,13.7891,IHDP 244
2.949293,0.267115,1.062173,IHDP 245
4.112898,0.741135,1.582853,IHDP 246
4.685198,0.930081,2.577735,IHDP 247
6.964003,0.337991,0.720136,IHDP 248
3.958428,0.571262,1.337873,IHDP 249
3.858818,0.217254,0.175967,IHDP 250
3.953482,0.583816,1.25392,IHDP 251
3.772544,0.161781,0.284514,IHDP 252
2.58521,0.059133,32.036456,IHDP 253
6.03471,1.851361,112.695947,IHDP 254
3.701896,0.149864,0.593596,IHDP 255
8.015934,0.099456,1.452969,IHDP 256
4.118776,0.852389,1.550767,IHDP 257
4.358756,0.682495,1.032498,IHDP 258
3.971818,0.712688,1.098534,IHDP 259
2.646865,0.136284,0.583729,IHDP 260
4.123776,0.445345,5.235811,IHDP 261
3.628331,0.273058,0.423048,IHDP 262
3.207476,0.060809,1.045357,IHDP 263
3.406809,0.157281,0.208249,IHDP 264
3.746296,0.043639,0.339063,IHDP 265
2.771384,0.217827,3.901053,IHDP 266
4.143977,0.919677,1.743937,IHDP 267
5.286954,0.492398,1.559594,IHDP 268
4.032261,0.574468,0.91889,IHDP 269
3.267657,0.173815,0.444449,IHDP 270
4.154091,0.478257,0.592443,IHDP 271
4.263595,0.407728,0.737091,IHDP 272
3.743914,0.155678,0.664846,IHDP 273
4.385673,0.356014,0.419253,IHDP 274
5.655607,0.484195,7.29833,IHDP 275
5.486463,1.183918,3.753036,IHDP 276
3.999168,0.575997,1.073475,IHDP 277
4.213574,0.286499,0.671633,IHDP 278
5.12422,0.312231,1.597649,IHDP 279
2.055246,0.000465,19.224715,IHDP 280
-0.076376,0.36199,7.79813,IHDP 281
7.892907,0.446604,3.449005,IHDP 282
3.896592,0.97503,2.456181,IHDP 283
4.068114,0.6493,1.592904,IHDP 284
4.088055,0.176198,2.211979,IHDP 285
4.188938,0.695728,3.232301,IHDP 286
4.784931,0.599863,7.575725,IHDP 287
3.654808,0.495261,1.383293,IHDP 288
4.163401,0.340331,0.586095,IHDP 289
4.03103,0.041756,0.396118,IHDP 290
3.465725,0.754269,8.795788,IHDP 291
5.27655,0.326169,2.041251,IHDP 292
4.124088,0.67143,1.458396,IHDP 293
3.928984,0.927306,2.476266,IHDP 294
3.024828,0.415749,3.337371,IHDP 295
3.880179,0.085584,0.111525,IHDP 296
4.108379,0.825607,2.057411,IHDP 297
3.953225,0.349186,0.996825,IHDP 298
4.138098,0.555265,1.474685,IHDP 299
4.068999,0.712879,1.795542,IHDP 300
4.526017,0.418512,0.683189,IHDP 301
6.179739,0.126207,0.757543,IHDP 302
4.105771,0.667741,1.199752,IHDP 303
4.046146,0.186873,0.270007,IHDP 304
3.948332,0.402295,0.535298,IHDP 305
5.434893,0.132729,0.609226,IHDP 306
4.760296,0.043912,5.660996,IHDP 307
3.644242,0.188495,0.723721,IHDP 308
2.61934,0.668149,35.031907,IHDP 309
2.4003,0.374166,2.219095,IHDP 310
4.722806,0.4658,10.932921,IHDP 311
4.298212,0.603167,1.798771,IHDP 312
1.895762,0.087967,1.62654,IHDP 313
3.304741,0.808078,7.271071,IHDP 314
4.202883,0.181766,0.705238,IHDP 315
4.41925,0.52298,1.657477,IHDP 316
4.092218,0.50265,1.186051,IHDP 317
7.304587,0.434294,1.182463,IHDP 318
9.677135,0.004358,8.253436,IHDP 319
4.113815,0.214231,10.687368,IHDP 320
4.44406,0.192384,0.710514,IHDP 321
5.909824,0.064477,5.752694,IHDP 322
4.506959,0.460629,0.699025,IHDP 323
4.390962,0.935196,2.01167,IHDP 324
5.836417,0.217692,0.699818,IHDP 325
2.094788,0.112217,2.915081,IHDP 326
4.558136,0.908261,3.486865,IHDP 327
12.202974,0.285372,37.944973,IHDP 328
0.575102,0.449985,6.15548,IHDP 329
3.260379,0.043951,1.024611,IHDP 330
3.067394,0.814949,1.829535,IHDP 331
4.323191,0.022945,2.725129,IHDP 332
3.926307,0.906969,1.666142,IHDP 333
4.268453,0.124216,0.765154,IHDP 334
4.107216,0.094507,0.323791,IHDP 335
5.1993,0.284793,1.876091,IHDP 336
3.611071,0.115939,29.367485,IHDP 337
4.086021,0.94953,2.070362,IHDP 338
3.991024,0.595241,1.444473,IHDP 339
9.094573,0.229416,60.130863,IHDP 340
4.309699,0.604648,1.437199,IHDP 341
4.062607,0.019438,0.514296,IHDP 342
6.962676,0.226194,42.008287,IHDP 343
1.265449,4.371644,209.914789,IHDP 344
3.935433,2.065214,47.467796,IHDP 345
4.544109,0.01871,1.468156,IHDP 346
4.650149,0.219971,7.863216,IHDP 347
4.158998,0.407451,0.548803,IHDP 348
5.327891,0.201132,1.266658,IHDP 349
6.352405,1.119847,29.24002,IHDP 350
5.911359,0.194594,1.000581,IHDP 351
3.980409,0.181128,1.142584,IHDP 352
4.600258,0.174633,3.147328,IHDP 353
4.026606,0.594507,0.978158,IHDP 354
4.319107,0.549076,1.29638,IHDP 355
1.01733,0.080394,5.864692,IHDP 356
3.928458,1.117991,2.627749,IHDP 357
4.398043,0.975994,1.990689,IHDP 358
3.971575,0.307605,0.3665,IHDP 359
1.33982,0.006816,5.067876,IHDP 360
2.37995,0.395923,29.559101,IHDP 361
3.645929,0.176445,0.909488,IHDP 362
4.011113,0.752059,1.456768,IHDP 363
3.660033,0.647503,0.903641,IHDP 364
5.161995,0.002486,1.21364,IHDP 365
5.10076,0.507852,0.739644,IHDP 366
3.923495,0.051431,0.149443,IHDP 367
3.727482,0.389094,0.559308,IHDP 368
4.542613,0.257516,4.459101,IHDP 369
3.678288,0.126896,0.730634,IHDP 370
3.983172,0.344628,0.455447,IHDP 371
4.270391,0.065862,1.361472,IHDP 372
4.534935,0.833944,35.943075,IHDP 373
4.086116,0.730244,1.870222,IHDP 374
3.957812,0.210409,0.429883,IHDP 375
3.969784,0.569373,0.977225,IHDP 376
4.009639,0.663739,1.532321,IHDP 377
4.12089,0.95024,1.828453,IHDP 378
3.544981,0.096841,0.564993,IHDP 379
3.972572,0.905911,1.971353,IHDP 380
4.108098,0.694079,1.63668,IHDP 381
2.770809,0.423688,9.729938,IHDP 382
3.806732,0.756899,1.399696,IHDP 383
2.613289,0.218936,2.579228,IHDP 384
4.55917,0.114648,12.770488,IHDP 385
5.81783,0.637842,38.833865,IHDP 386
3.303696,0.799101,1.170769,IHDP 387
3.533431,0.688966,1.453154,IHDP 388
3.765228,0.710436,1.953603,IHDP 389
3.049347,0.051951,0.852365,IHDP 390
3.910273,0.247017,0.429348,IHDP 391
5.093272,0.067408,0.719585,IHDP 392
5.08876,0.11614,0.43091,IHDP 393
4.216065,0.093291,0.236834,IHDP 394
4.010602,0.848054,1.965503,IHDP 395
3.965822,0.779723,1.702455,IHDP 396
3.771529,0.71873,1.640641,IHDP 397
4.02836,0.86633,2.781872,IHDP 398
5.962017,0.254391,0.382527,IHDP 399
5.8386,0.014075,1.030527,IHDP 400
6.618298,0.655643,8.844886,IHDP 401
4.203918,0.53566,1.050113,IHDP 402
4.240114,0.264525,0.555535,IHDP 403
4.267716,0.283852,0.51866,IHDP 404
4.0697,0.244174,0.318334,IHDP 405
3.837232,0.715137,1.56305,IHDP 406
4.227002,0.822082,1.969815,IHDP 407
5.241982,0.268639,0.365416,IHDP 408
4.594335,0.082554,0.764778,IHDP 409
8.167517,1.192668,4.95535,IHDP 410
4.137189,0.632902,1.260742,IHDP 411
4.297494,0.267666,4.842667,IHDP 412
3.992074,0.482622,0.653794,IHDP 413
4.887621,0.250547,0.354968,IHDP 414
2.523297,0.6175,283.009219,IHDP 415
4.268561,0.230959,0.379012,IHDP 416
4.116272,0.807149,2.32001,IHDP 417
1.836465,0.128192,1.978009,IHDP 418
3.346265,0.267936,0.473605,IHDP 419
4.119501,0.66678,1.265997,IHDP 420
4.264316,0.70252,3.504518,IHDP 421
4.094396,0.851269,1.8516,IHDP 422
4.092035,0.770162,1.376135,IHDP 423
4.019574,0.708013,1.251024,IHDP 424
3.959721,0.232235,0.419225,IHDP 425
5.062052,0.736518,3.093816,IHDP 426
3.293387,0.324601,3.28419,IHDP 427
4.306567,0.283741,0.323766,IHDP 428
