ATE,Error_ATE,Error_PEHE,Problem
3.871694,0.125593,1.430301,IHDP 144
3.696711,0.019432,2.199724,IHDP 145
8.825768,0.488721,35.795542,IHDP 146
4.224584,0.087209,4.435617,IHDP 147
7.518511,2.32691,213.273827,IHDP 148
4.127271,0.178336,0.413911,IHDP 149
5.406163,0.421054,2.204356,IHDP 150
4.80784,0.137932,8.530795,IHDP 151
5.199054,0.056906,3.781757,IHDP 152
3.683946,0.165551,2.365382,IHDP 153
4.346638,0.473019,4.067583,IHDP 154
4.157805,0.080483,0.432934,IHDP 155
7.098465,0.147835,10.200787,IHDP 156
4.32887,0.308874,9.267096,IHDP 157
3.992396,0.239995,0.2209,IHDP 158
4.554703,0.548965,4.700756,IHDP 159
3.742069,0.133008,1.324552,IHDP 160
3.973986,0.2212,0.363464,IHDP 161
2.773671,0.283673,5.755639,IHDP 162
3.988841,0.0603,0.350647,IHDP 163
5.038401,0.129506,4.258694,IHDP 164
4.233397,0.733698,16.011842,IHDP 165
4.049391,0.121566,0.648833,IHDP 166
4.547101,0.124504,1.575766,IHDP 167
4.454127,0.165385,0.45787,IHDP 168
4.803743,0.042067,2.523396,IHDP 169
3.730067,0.669725,7.262331,IHDP 170
4.036561,0.230097,1.026547,IHDP 171
4.394657,0.035957,0.413395,IHDP 172
3.850795,0.114968,1.514079,IHDP 173
4.033526,0.045945,0.32529,IHDP 174
4.591759,0.111383,0.795573,IHDP 175
3.790252,0.471024,10.826981,IHDP 176
3.955224,0.433524,1.051506,IHDP 177
4.560515,0.075008,1.075772,IHDP 178
6.662647,1.15093,52.490928,IHDP 179
4.148577,2.100042,59.624699,IHDP 180
3.914757,0.226853,0.389893,IHDP 181
4.473739,0.242396,0.918463,IHDP 182
5.723733,0.575309,17.882579,IHDP 183
3.971785,0.414139,0.705133,IHDP 184
4.00889,0.217205,0.372496,IHDP 185
4.274753,0.317961,4.794784,IHDP 186
3.755724,0.254885,0.747229,IHDP 187
5.106002,0.141768,3.6785,IHDP 188
3.851978,0.006592,0.570351,IHDP 189
3.755146,0.144259,0.341884,IHDP 190
4.15721,0.082573,1.334929,IHDP 191
4.008079,0.092255,1.149553,IHDP 192
3.961347,0.04348,0.414535,IHDP 193
4.239872,0.04415,0.712521,IHDP 194
3.843686,0.337616,2.116546,IHDP 195
4.251502,0.023848,0.589069,IHDP 196
4.167695,0.10111,0.918792,IHDP 197
5.985832,0.029077,6.125295,IHDP 198
4.328186,0.302851,1.356988,IHDP 199
4.143633,0.12773,1.017809,IHDP 200
4.205082,0.018077,0.675913,IHDP 201
4.149438,0.050778,0.563696,IHDP 202
3.906648,0.320598,2.113109,IHDP 203
4.687694,0.184253,2.691096,IHDP 204
3.763087,0.079766,0.485889,IHDP 205
4.223829,0.014469,0.237136,IHDP 206
4.214217,0.291851,1.108259,IHDP 207
2.105817,2.625062,124.56108,IHDP 208
10.668377,1.113676,148.823275,IHDP 209
6.416279,0.497046,8.659224,IHDP 210
3.957768,0.040496,0.450937,IHDP 211
3.98752,0.034466,0.232414,IHDP 212
4.183823,0.070812,0.347483,IHDP 213
3.650387,0.017103,0.753401,IHDP 214
4.160511,0.062642,0.486784,IHDP 215
3.994832,0.195626,1.497292,IHDP 216
3.501728,0.024551,21.94586,IHDP 217
11.583535,11.474842,1642.798971,IHDP 218
6.363932,1.639187,66.124291,IHDP 219
4.109952,0.099131,0.197403,IHDP 220
4.12308,0.084439,0.599989,IHDP 221
3.915724,0.271851,0.303409,IHDP 222
4.060095,0.080581,0.300448,IHDP 223
3.815259,0.101921,2.229917,IHDP 224
5.766492,0.359351,8.943129,IHDP 225
3.880104,0.03443,0.281082,IHDP 226
3.25426,0.348267,1.617896,IHDP 227
3.155799,0.64993,15.73988,IHDP 228
4.169478,0.359401,3.290872,IHDP 229
8.064425,0.085497,20.237068,IHDP 230
3.670616,0.561625,5.630404,IHDP 231
4.87568,0.022476,3.638094,IHDP 232
4.051584,0.08117,0.266109,IHDP 233
5.614417,0.599261,13.333687,IHDP 234
4.009805,0.015332,0.259909,IHDP 235
3.805175,0.464755,5.523392,IHDP 236
3.966719,0.106527,0.568907,IHDP 237
3.729702,0.152262,1.018073,IHDP 238
4.93983,0.490061,8.354455,IHDP 239
4.141064,0.115362,0.427336,IHDP 240
4.000115,0.029251,0.280423,IHDP 241
4.339979,0.157481,4.36085,IHDP 242
1.595204,1.930788,27.182479,IHDP 243
9.005046,2.021499,164.00155,IHDP 244
2.949293,0.29123,6.14898,IHDP 245
4.112898,0.081894,0.37969,IHDP 246
4.685198,0.066497,0.881586,IHDP 247
6.964003,0.216151,6.694195,IHDP 248
3.958428,0.129083,0.931192,IHDP 249
3.858818,0.015015,0.497554,IHDP 250
3.953482,0.006379,0.177267,IHDP 251
3.772544,0.062277,0.75678,IHDP 252
2.58521,3.642828,142.983077,IHDP 253
6.03471,8.604242,1358.003791,IHDP 254
3.701896,0.142968,1.605536,IHDP 255
8.015934,0.274346,57.509367,IHDP 256
4.118776,0.191074,0.798082,IHDP 257
4.358756,0.02234,0.336325,IHDP 258
3.971818,0.011288,0.445697,IHDP 259
2.646865,0.630168,6.236859,IHDP 260
4.123776,0.232969,9.650228,IHDP 261
3.628331,0.29911,0.947579,IHDP 262
3.207476,0.067142,3.8526,IHDP 263
3.406809,0.143811,1.584205,IHDP 264
3.746296,0.216066,0.786157,IHDP 265
2.771384,0.6576,19.693246,IHDP 266
4.143977,0.239959,0.509543,IHDP 267
5.286954,0.241473,2.178309,IHDP 268
4.032261,0.008604,0.396479,IHDP 269
3.267657,0.291266,2.931938,IHDP 270
4.154091,0.140185,0.265337,IHDP 271
4.263595,0.015467,1.174921,IHDP 272
3.743914,0.357859,0.508789,IHDP 273
4.385673,0.066229,0.571158,IHDP 274
5.655607,1.181105,126.640177,IHDP 275
5.486463,0.151578,5.909737,IHDP 276
3.999168,0.015682,0.305748,IHDP 277
4.213574,0.401131,0.625716,IHDP 278
5.12422,0.557904,10.56001,IHDP 279
2.055246,2.773754,71.103892,IHDP 280
-0.076376,4.907025,194.391185,IHDP 281
7.892907,0.018164,6.666804,IHDP 282
3.896592,0.137694,0.772584,IHDP 283
4.068114,0.124204,0.233883,IHDP 284
4.088055,0.361471,7.313495,IHDP 285
4.188938,0.008276,3.107142,IHDP 286
4.784931,0.24738,26.603752,IHDP 287
3.654808,0.000106,0.625038,IHDP 288
4.163401,0.044618,0.489494,IHDP 289
4.03103,0.121804,1.636834,IHDP 290
3.465725,0.873188,15.602001,IHDP 291
5.27655,0.321165,11.399564,IHDP 292
4.124088,0.104095,0.336805,IHDP 293
3.928984,0.22151,0.755262,IHDP 294
3.024828,2.242249,36.476619,IHDP 295
3.880179,0.151911,0.443611,IHDP 296
4.108379,0.099156,2.122751,IHDP 297
3.953225,0.255678,0.244517,IHDP 298
4.138098,0.277491,0.462045,IHDP 299
4.068999,0.070468,0.531018,IHDP 300
4.526017,0.256235,3.143804,IHDP 301
6.179739,0.117313,4.409362,IHDP 302
4.105771,0.004678,0.344308,IHDP 303
4.046146,0.058148,0.65669,IHDP 304
3.948332,0.012407,0.624728,IHDP 305
5.434893,0.364483,3.035895,IHDP 306
4.760296,1.541009,49.910861,IHDP 307
3.644242,0.212695,1.857237,IHDP 308
2.61934,2.204596,85.643431,IHDP 309
2.4003,1.497954,47.678141,IHDP 310
4.722806,2.038642,121.647065,IHDP 311
4.298212,0.246339,2.905046,IHDP 312
1.895762,0.649792,11.509239,IHDP 313
3.304741,0.270417,15.23117,IHDP 314
4.202883,0.403567,4.648201,IHDP 315
4.41925,0.206645,0.693656,IHDP 316
4.092218,0.087792,0.259576,IHDP 317
7.304587,0.108515,8.727696,IHDP 318
9.677135,0.113808,114.297978,IHDP 319
4.113815,1.44869,35.6933,IHDP 320
4.44406,0.156615,2.085937,IHDP 321
5.909824,1.725152,55.239219,IHDP 322
4.506959,0.405192,0.773541,IHDP 323
4.390962,0.020794,0.373579,IHDP 324
5.836417,0.144623,1.557072,IHDP 325
2.094788,1.052993,15.16074,IHDP 326
4.558136,0.25834,6.037452,IHDP 327
12.202974,1.6187,188.666978,IHDP 328
0.575102,2.785089,75.521471,IHDP 329
3.260379,0.887143,10.441691,IHDP 330
3.067394,0.06519,2.309914,IHDP 331
4.323191,0.690498,19.236273,IHDP 332
3.926307,0.361836,0.417576,IHDP 333
4.268453,0.561969,4.940854,IHDP 334
4.107216,0.170629,3.392223,IHDP 335
5.1993,0.576046,12.459141,IHDP 336
3.611071,2.196397,128.875275,IHDP 337
4.086021,0.255325,2.263401,IHDP 338
3.991024,0.079638,0.425671,IHDP 339
9.094573,0.613708,435.788229,IHDP 340
4.309699,0.215332,0.558729,IHDP 341
4.062607,0.063445,7.691516,IHDP 342
6.962676,2.999034,180.679514,IHDP 343
1.265449,11.224475,1598.727406,IHDP 344
3.935433,4.540573,328.766156,IHDP 345
4.544109,0.263422,5.449483,IHDP 346
4.650149,0.593139,103.236839,IHDP 347
